,SURVEYID,DBN,SCHOOL,DISTRICT,BOROUGH,DATE_OF_TEST,TOTAL_TESTED,TOTAL_STUDENT,TOTAL_EMPLOYEE,PERC_OF_TEST_AVAILABLE,PERC_OF_POSITIVE_LAST_SURRVEY,POSTITVE_IN_LAST_SURVERY,POSITIVE_STUDENT_IN_LAST_SURVEY,POSITIVE_EMPLOYEE_IN_LAST_SURVEY,VOLUME,OVER_THRESHOLD,LAB,TEST_TYPE,DATE_OF_LATEST_REPORTING,AVG_TIME,MAX_TURNAROUND,high,middle,elem,elem2,date,,elem = not middle or high
35,38,22K207,P.S. 207 ELIZABETH G. LEARY,22,Brooklyn,2020-11-18T00:00:00,64,36,28,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,11/18/20,,
36,39,31R455,TOTTENVILLE HIGH SCHOOL,31,Staten Island,2020-11-18T00:00:00,60,5,55,98%,2%,1,0,1,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
37,40,02M130,P.S. 130 HERNANDO DE SOTO,2,Manhattan,2020-11-18T00:00:00,60,22,38,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
38,41,26Q158,M.S. 158 MARIE CURIE,26,Queens,2020-11-18T00:00:00,59,26,33,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,11/18/20,,
39,42,26Q041,P.S. 041 CROCHERON,26,Queens,2020-11-18T00:00:00,58,32,26,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
40,43,09X011,P.S. 011 HIGHBRIDGE,9,Bronx,2020-11-18T00:00:00,57,9,48,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
41,44,12X134,P.S. 134 GEORGE F. BRISTOW,12,Bronx,2020-11-18T00:00:00,57,11,46,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
42,45,22K152,SCHOOL OF SCIENCE & TECHNOLOGY,22,Brooklyn,2020-11-18T00:00:00,56,19,37,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,11/18/20,,
43,46,03M291,WEST END SECONDARY SCHOOL,3,Manhattan,2020-11-18T00:00:00,55,35,20,98%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,11/18/20,,
44,47,21K097,P.S. 97 THE HIGHLAWN,21,Brooklyn,2020-11-18T00:00:00,54,9,45,100%,7%,4,0,4,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
45,48,27Q475,RICHMOND HILL HIGH SCHOOL,27,Queens,2020-11-18T00:00:00,54,23,31,98%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
46,49,28Q055,P.S. 055 MAURE,28,Queens,2020-11-18T00:00:00,54,12,42,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
47,50,25Q294,BELL ACADEMY,25,Queens,2020-11-18T00:00:00,53,21,32,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,11/18/20,,
48,51,03M180,P.S. 180 HUGO NEWMAN,3,Manhattan,2020-11-18T00:00:00,53,25,28,100%,2%,1,0,1,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,11/18/20,,
49,52,07X001,P.S. 001 COURTLANDT SCHOOL,7,Bronx,2020-11-18T00:00:00,53,16,37,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
50,53,29Q034,P.S. 034 JOHN HARVARD,29,Queens,2020-11-18T00:00:00,52,20,32,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
51,54,05M197,P.S. 197 JOHN B. RUSSWURM,5,Manhattan,2020-11-18T00:00:00,52,8,44,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
52,55,08X130,P.S. 130 ABRAM STEVENS HEWITT,8,Bronx,2020-11-18T00:00:00,52,15,37,100%,2%,1,0,1,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
53,56,07X018,P.S. 018 JOHN PETER ZENGER,7,Bronx,2020-11-18T00:00:00,50,16,34,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,11/18/20,,
54,57,29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,29,Queens,2020-11-18T00:00:00,49,0,49,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
55,58,75Q023A,P023Q @ CITY HOSPITAL ELMHURST,75,Queens,2020-11-18T00:00:00,49,0,49,98%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,11/18/20,,
56,59,21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIG,21,Brooklyn,2020-11-18T00:00:00,49,8,41,100%,2%,1,0,1,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
57,60,02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,2,Manhattan,2020-11-18T00:00:00,49,27,22,100%,0%,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,11/18/20,,
